xx,yy,OBJECTID,Description,ParkType,Car_Park,Dog_Off_Leash_Area,Electric_BBQ,Picnic_Set,Rubbish_Bins,Shelter,Toilets,Water_Fountain,Basketball_Court,Play_Equipment,Playground_Area,Skate_Park,Exercise_Equipment,Suburb,ADDRESS,APS
495879.9117,6990979.7159,1127,Thomas Street Reserve,Park\Local Recreatio,No,No,No,No,No,No,No,No,No,No,No,No,No,NARANGBA,17 MUMFORD ROAD NARANGBA,NO
511579.0857,6987989.6308,1128,Settlement Cove Park,Park\Regional Foresh,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,REDCLIFFE,Lot 875 REDCLIFFE POINT REDCLIFFE,NO
497354.72,7005357.0426,1129,Mckavanagh Street Park,Park\Local Recreatio,No,No,No,No,No,No,No,No,No,No,No,No,No,CABOOLTURE,2-6 MCKAVANAGH STREET CABOOLTURE,NO
488081.8691,6973774.9093,1130,Gibbons Road Park,Park\Linear Linkage,No,No,No,No,No,No,No,No,No,No,No,No,No,SAMFORD VALLEY,Lot 6 GIBBONS ROAD SAMFORD VALLEY,NO
493729.1886,6970131.43,1131,John Johnson Park,Park\Local Recreatio,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,FERNY HILLS,9 CARMONT COURT FERNY HILLS,NO
498273.7025,6988611.3216,1132,Essencia Park,Park\Local Recreatio,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,DAKABIN,13 ESSENCIA AVENUE DAKABIN,NO
496799.0272,6984031.0934,1133,Camion Park,Park\Local Recreatio,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,PETRIE,21 CAMION COURT PETRIE,NO
511274.5425,6988315.5603,1134,153 Sutton Street,Park\Local Civic Par,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,REDCLIFFE,153 SUTTON STREET REDCLIFFE,NO
496205.0837,6979398.622,1135,Woodhaven Park,Park\Local Recreatio,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,WARNER,2 MORENE CRESCENT WARNER,NO
508846.666,6987481.9274,1136,MacDonnell Road Park,Park\Linear Linkage,No,No,No,No,No,No,No,No,No,No,No,No,No,,,NO
501796.5112,6991455.4503,1137,Parsons Boulevarde Park,Park\Local Recreatio,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,DECEPTION BAY,67A-99A PARSONS BOULEVARD DECEPTION BAY,NO
495176.7347,7006376.0697,1138,Anastasia Court Park,Park\Local Recreatio,No,No,No,No,No,No,No,No,No,No,No,No,No,CABOOLTURE,22 ANASTASIA COURT CABOOLTURE,NO
495920.067,7000794.3138,1139,Brodies Park (South),Park\Linear Linkage,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,MORAYFIELD,55 GLENWOOD DRIVE MORAYFIELD,NO
494884.3617,6969926.551,1140,Nulty Way Park,Park\Linear Linkage,No,No,No,No,No,No,No,No,No,No,No,No,No,ARANA HILLS,145A PLUCKS ROAD ARANA HILLS,NO
489223.0151,6974179.4409,1141,Samford Parklands,Park\Regional Recrea,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,SAMFORD VALLEY,2149 MT SAMSON ROAD SAMFORD VALLEY,NO
496908.0622,7007126.562,1142,Male Road Reserve,Park\Local Recreatio,No,No,No,No,No,No,No,No,No,No,No,No,No,CABOOLTURE,127-131 MALE ROAD CABOOLTURE,NO
499137.652,6986745.5348,1143,Ross Reserve,Park\Linear Linkage,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,KALLANGUR,113-123 OLD GYMPIE ROAD KALLANGUR,NO
496294.3797,6970560.3749,1144,Pine Hills Park,Park\Local Recreatio,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,ARANA HILLS,2 FRANCIS ROAD ARANA HILLS,NO
503528.8615,6987858.968,1145,Capestone Boulevard Park,Park\Linear Linkage,No,No,No,No,No,No,No,No,No,No,No,No,No,MANGO HILL,5-7 ST BENEDICTS CLOSE MANGO HILL,NO
500967.4904,6993694.9125,1146,Leonie Street Park,Park\Local Recreatio,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,DECEPTION BAY,27 LEONIE STREET DECEPTION BAY,NO
483294.6591,6996443.6463,1147,Elsie Crane Park,Park\Local Recreatio,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,OCEAN VIEW,Lot 900 OCEAN VIEW ROAD OCEAN VIEW,NO
502610.3559,6989932.9979,1148,Tea-tree Place Park,Park\Local Recreatio,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,NORTH LAKES,69 KURRAJONG CIRCUIT NORTH LAKES,NO
501294.3933,6993644.832,1149,Claverton Drive Park,Park\Linear Linkage,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,DECEPTION BAY,75-77 OLD BAY ROAD DECEPTION BAY,NO
493569.6707,7004495.4038,1150,Swimming Pool Caboolture,Park\Community Facil,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,CABOOLTURE,198A KING STREET CABOOLTURE,NO
508880.4413,6988754.4624,1151,Kalowen Park,Park\Local Recreatio,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,KIPPA-RING,69 DALTON STREET KIPPA-RING,NO
514178.6094,7008603.3767,1152,Skiff Court Park,Park\Linear Linkage,No,No,No,No,Yes,No,No,No,No,No,No,No,No,BANKSIA BEACH,12 SKIFF COURT BANKSIA BEACH,NO
501611.3484,6984412.3734,1153,Baybreeze Crescent Park,Park\Local Recreatio,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,MURRUMBA DOWNS,39 BAYBREEZE CRESCENT MURRUMBA DOWNS,NO
486531.904,7009190.0905,1154,Caboolture Shire National Serv,Park\Local Recreatio,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,WAMURAN,1047-1057 D'AGUILAR HIGHWAY WAMURAN,NO
496115.5133,6979867.0596,1155,Solomon Parade Park,Park\Linear Linkage,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,WARNER,31 SOLOMON PARADE WARNER,NO
498060.0953,6991424.8205,1156,Ferrier Road Park,Park\Local Recreatio,No,No,No,No,No,No,No,No,No,No,No,No,No,NARANGBA,77-113 FERRIER ROAD NARANGBA,NO
495166.7887,7000097.7886,1157,Braheem Street Park,Park\Local Recreatio,No,No,No,No,No,No,No,No,No,No,No,No,No,MORAYFIELD,2-8 BRAHEEM STREET MORAYFIELD,NO
514663.2783,7007513.8854,1158,Whitehaven Shores Park,Park\Linear Linkage,No,No,No,No,No,Yes,No,No,No,No,No,No,No,BANKSIA BEACH,111 MARINA BOULEVARD BANKSIA BEACH,NO
492732.8871,7003747.1784,1159,Daintree Street Park,Park\Linear Linkage,No,No,No,No,No,No,No,No,No,No,No,No,No,BELLMERE,7 DAINTREE STREET BELLMERE,NO
495980.5015,6974386.1288,1160,Richard Lee Reserve,Park\Linear Linkage,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,ALBANY CREEK,47-49 FLINDERS WAY ALBANY CREEK,NO
496150.0732,6999231.246,1161,Havenwood Street Park,Park\Linear Linkage,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,BURPENGARY,16B HAVENWOOD STREET BURPENGARY,NO
496123.2579,7007378.4636,1162,Glasshouse Street Park,Park\Local Recreatio,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,CABOOLTURE,1 GLASSHOUSE STREET CABOOLTURE,NO
494706.2773,6970843.2093,1163,Leonarda Drive Pathway (South),Park\Linear Linkage,No,No,No,No,No,No,No,No,No,No,No,No,No,ARANA HILLS,18A LEONARDA DRIVE ARANA HILLS,NO
497531.9642,6985550.1709,1164,John Moore Park,Park\Local Recreatio,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,PETRIE,14 HANLON ROAD PETRIE,NO
495671.8153,6981827.3671,1165,Francis Road Drainage Reserve (West),Park\Linear Linkage,No,No,No,No,No,No,No,No,No,No,No,No,No,BRAY PARK,8 AARON STREET BRAY PARK,NO
497591.0099,6984292.6879,1166,Gary Jenkins Park,Park\Linear Linkage,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,PETRIE,46 WOONARA DRIVE PETRIE,NO
509755.7558,7010068.0256,1167,Audrey Hall Place,Park\Local Foreshore,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,TOORBUL,Lot 1 THE ESPLANADE TOORBUL,NO
495433.4728,6976284.91,1168,Gum Tree Park,Park\Local Recreatio,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,EATONS HILL,6-12 HERO STREET EATONS HILL,NO
